0, 1000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16.6054, 16.6054, 16.6054, 0, 16.6054, 16.6054, 16.6054, 0, 16.6054, 16.6054, 16.6054, 0, 0, 16.6054, 16.6054, 16.6054, 0
80, 1000, 0, 0, 2.88248, 28.7787, 24.6099, 4.35035, 32.7273, 3.35136, 15.6365, 0.00600999, 0.165888, 50, 101.224, 16.6054, 16.6054, 16.6054, 101.224, 16.6054, 16.6054, 16.6054, 47.3848, 12.6923, 16.6054, 16.6054, 3.91313, 30.362, 16.5849, 16.6054, 16.6054, 0.0204693
160, 1000, 0, 0, 23.5467, 72.1074, 57.0118, 17.8879, 65.214, 5.24644, 58.4348, 0.264867, 8.94255, 50, 164.87, 16.6054, 16.6054, 16.6054, 164.87, 16.6054, 16.6054, 16.6054, 52.8082, 4.28243, 16.6054, 16.6054, 12.323, 48.6801, 15.5044, 16.6054, 16.6054, 1.10103
240, 1000, 0, 0, 64.6851, 116.747, 64.8646, 24.5317, 76.3994, 8.63313, 110.432, 0.912471, 32.3887, 50, 204.888, 16.6054, 16.6054, 16.6054, 204.888, 16.6054, 16.6054, 16.6054, 41.4527, 1.83606, 16.6054, 16.6054, 14.7693, 56.6697, 13.151, 16.6054, 16.6054, 3.45438
320, 1000, 0, 0, 116.712, 155.486, 53.196, 28.8829, 82.7291, 15.0763, 158.931, 1.70922, 61.6124, 50, 230.05, 16.6054, 16.6054, 16.6054, 230.05, 16.6054, 16.6054, 16.6054, 30.2161, 1.06709, 16.6054, 16.6054, 15.5383, 57.5411, 11.0532, 16.6054, 16.6054, 5.55224
400, 1000, 0, 0, 173.109, 188.54, 35.7641, 32.3749, 87.3317, 27.4359, 195.077, 2.5574, 92.846, 50, 245.871, 16.6054, 16.6054, 16.6054, 245.871, 16.6054, 16.6054, 16.6054, 21.6456, 0.734141, 16.6054, 16.6054, 15.8712, 54.7397, 9.44534, 16.6054, 16.6054, 7.16005
480, 1000, 0, 0, 230.166, 216.837, 22.5038, 35.296, 90.9057, 47.8411, 214.518, 3.40735, 124.21, 50, 255.818, 16.6054, 16.6054, 16.6054, 255.818, 16.6054, 16.6054, 16.6054, 15.5338, 0.558053, 16.6054, 16.6054, 16.0473, 50.4551, 8.24356, 16.6054, 16.6054, 8.36183
560, 1000, 0, 0, 285.765, 241.2, 15.0228, 37.7876, 93.7835, 73.4018, 220.002, 4.23044, 154.621, 50, 262.073, 16.6054, 16.6054, 16.6054, 262.073, 16.6054, 16.6054, 16.6054, 11.2823, 0.452352, 16.6054, 16.6054, 16.153, 45.8716, 7.33958, 16.6054, 16.6054, 9.26581
640, 1000, 0, 0, 338.731, 262.29, 10.9278, 39.9388, 96.1589, 99.4681, 217.016, 5.01105, 183.484, 50, 266.006, 16.6054, 16.6054, 16.6054, 266.006, 16.6054, 16.6054, 16.6054, 8.35239, 0.383212, 16.6054, 16.6054, 16.2222, 41.5569, 6.6485, 16.6054, 16.6054, 9.95689
720, 1000, 0, 0, 388.468, 280.643, 8.4953, 41.8125, 98.1555, 123.401, 209.392, 5.74154, 210.508, 50, 268.478, 16.6054, 16.6054, 16.6054, 268.478, 16.6054, 16.6054, 16.6054, 6.33665, 0.335117, 16.6054, 16.6054, 16.2703, 37.7383, 6.11034, 16.6054, 16.6054, 10.495
800, 1000, 0, 0, 434.73, 296.689, 6.91793, 43.455, 99.857, 144.222, 199.335, 6.41916, 235.584, 50, 270.033, 16.6054, 16.6054, 16.6054, 270.033, 16.6054, 16.6054, 16.6054, 4.94555, 0.300088, 16.6054, 16.6054, 16.3053, 34.4682, 5.68375, 16.6054, 16.6054, 10.9216
